región,year,specie,carne,poblacion,produccion,rendimiento
Ucayali,2022,ave,15263.38,6119078.0,6931980.0,2.201878828271288
Madre de Dios,2022,ave,9413.27,487573.0,4273888.4,2.202507206318256
Tumbes,2021,ave,245.5783779036013,180350.0,97536.99724956288,2.517797193153821
Piura,2021,ave,32474.209628233315,3905773.8319528736,14581622.097259056,2.2270642738943
Lambayeque,2021,ave,26085.997252921487,2557740.0,11658327.643096533,2.237541957260764
La Libertad,2021,ave,311654.48137999105,25462693.0,137652736.38500825,2.2640631023004736
Cajamarca,2021,ave,3688.593109280114,890397.0,1734004.9334469102,2.127210273818432
Amazonas,2021,ave,806.6744605378976,1530189.0,380125.9812290415,2.1221239809226384
Ancash,2021,ave,37543.04409449262,2640982.0,16434268.445738625,2.284436585568095
Lima,2021,ave,941312.9500614798,90509068.0,415539953.52395743,2.265276640859059
Ica,2021,ave,97956.89893567978,17230945.0,43909224.00680211,2.230895697917708
Huánuco,2021,ave,1297.5511613873325,1758941.0,612642.6155994651,2.1179577266555163
Pasco,2021,ave,606.5640387538917,139084.0,280390.2102493833,2.163285366541165
Junín,2021,ave,10766.124138942663,2568943.0,4829246.256155073,2.229359110693682
Huancavelica,2021,ave,988.209679877594,388647.0,474946.05059714086,2.080677749894196
Arequipa,2021,ave,167137.55045002452,19026568.0,74273035.20237797,2.250312647040892
Moquegua,2021,ave,197.64612519992065,60647.0,93207.54554383556,2.120494902496575
Tacna,2021,ave,19859.345448489,1190678.0,8829824.08318592,2.2491213031419166
Ayacucho,2021,ave,1072.7714498819612,580691.0,511996.1753775865,2.0952723896634864
Apurímac,2021,ave,793.7862600853093,307099.0,390972.7873176138,2.03028519077074
Cusco,2021,ave,3977.180168969,1202695.0,1845088.578196558,2.155549720467301
Puno,2021,ave,2667.513933969092,1597475.0,1292947.3629430626,2.063126473994411
San Martín,2021,ave,39482.25232531552,4751632.0,17707529.420271695,2.229687235765142
Loreto,2021,ave,26003.13602094476,4190254.0,11710287.816596728,2.220537738115292
Ucayali,2021,ave,15498.822072288089,6213568.0,7107179.635246921,2.1807274991930914
Madre de Dios,2021,ave,9490.926467648482,489694.0,4303100.038171062,2.205602096966909
Tumbes,2020,ave,253.1102703304053,183420.0,100948.6075065078,2.5073180956368137
Piura,2020,ave,32603.80540451303,5987048.0,14541834.941241989,2.2420695556133445
Lambayeque,2020,ave,25696.714779714966,2626033.0,11620616.974909676,2.211303826225173
La Libertad,2020,ave,309576.6100882715,24980325.0,137305162.27900863,2.254661113609127
Cajamarca,2020,ave,3679.7746088091367,887067.0,1742873.6501045711,2.111326089867933
Amazonas,2020,ave,816.724773458187,1528411.0,394488.31109673815,2.0703396031876498
Ancash,2020,ave,37251.834545703845,2628030.0,16264594.795912124,2.2903635173909507
Lima,2020,ave,920320.7235880472,73917840.0,392726284.4005085,2.3434151472517417
Ica,2020,ave,96610.45147573104,16978545.0,44486452.463457584,2.171682526384624
Huánuco,2020,ave,1319.7059523321002,1750450.0,635672.4464906651,2.076078583581458
Pasco,2020,ave,627.7016336657034,140558.0,293306.405108657,2.140088394705079
Junín,2020,ave,11113.075539816226,2567455.0,4976720.492687145,2.2330117908260902
Huancavelica,2020,ave,1003.8846890826404,387425.0,493340.9522641999,2.034869970707455
Arequipa,2020,ave,163506.8449343247,16305432.0,73941193.13366662,2.211309258139052
Moquegua,2020,ave,200.33395633076947,59840.0,97080.22229715988,2.0635918582628783
Tacna,2020,ave,20025.962454030872,1184898.0,8739392.763085745,2.291459257743671
Ayacucho,2020,ave,1096.7099079330526,570441.0,531687.409329626,2.062696781396104
Apurímac,2020,ave,812.5282713565921,305020.0,405983.8220071995,2.0013809105481624
Cusco,2020,ave,4016.74085828318,1205779.0,1865477.4692865205,2.1531971971869712
Puno,2020,ave,2684.212833217919,1699105.0,1341815.93998365,2.000432960462988
San Martín,2020,ave,39499.354735434674,4565213.0,17962884.943224095,2.19894270103503
Loreto,2020,ave,26127.555822593236,4190254.0,11814050.380374951,2.211566311414697
Ucayali,2020,ave,15240.625402129468,5924587.0,7076354.249231145,2.153739745828211
Madre de Dios,2020,ave,9412.482058415118,485451.1,4244124.41543883,2.217767703551616
Tumbes,2019,ave,294.0,157220.0,132083.0,2.2258731252318618
Piura,2019,ave,33053.0,5858230.0,14783876.0,2.235746566056155
Lambayeque,2019,ave,26358.0,2489462.0,12079398.0,2.1820623842347118
La Libertad,2019,ave,316907.0,24963293.0,140698998.0,2.252375670791913
Cajamarca,2019,ave,3667.0,870494.0,1768812.0,2.0731428778185585
Amazonas,2019,ave,820.0,1525969.0,102828.0,7.974481658692184
Ancash,2019,ave,38410.0,2632858.0,17185743.0,2.2349921094479304
Lima,2019,ave,942813.0,68879430.0,416797807.0,2.262039253004035
Ica,2019,ave,95536.0,17467343.0,45451220.0,2.1019457783531443
Huánuco,2019,ave,1320.0,1761432.0,646070.0,2.043122262293559
Pasco,2019,ave,642.0,139895.0,300084.0,2.139400967729036
Junín,2019,ave,11237.0,3562423.0,5131255.0,2.189912604226452
Huancavelica,2019,ave,1009.0,389033.0,508566.0,1.9840099416791528
Arequipa,2019,ave,168941.0,17146598.0,75369645.0,2.2414992136423093
Moquegua,2019,ave,198.0,60034.0,95558.0,2.072040017580945
Tacna,2019,ave,20227.0,1185038.0,8886158.0,2.2762368168560587
Ayacucho,2019,ave,1104.0,664511.0,544510.0,2.027510973168537
Apurímac,2019,ave,814.0,309739.0,405658.0,2.0066164108682685
Cusco,2019,ave,4058.0,1201279.0,1899521.0,2.1363280532302618
Puno,2019,ave,2686.0,1698765.0,1354640.0,1.982814622335085
San Martín,2019,ave,40421.0,4536966.0,18414920.0,2.1950136085304743
Loreto,2019,ave,26873.0,4183526.0,12043022.0,2.2314166660162207
Ucayali,2019,ave,15750.0,6002549.0,7328098.0,2.1492616501580626
Madre de Dios,2019,ave,9719.0,486548.0,4328446.0,2.2453785954589707
Tumbes,2018,ave,289.56850943605343,160170.0,132556.70857681282,2.184487775420712
Piura,2018,ave,32556.16412380413,5987073.0,14745978.253396869,2.2077995480770847
Lambayeque,2018,ave,25386.674956385938,2048030.0,11540012.230169697,2.199882846745703
La Libertad,2018,ave,299039.69581832027,24685343.0,134659466.61810154,2.2207105324901235
Cajamarca,2018,ave,3538.0905843108203,901600.0,1773889.2490148798,1.9945386028331136
Amazonas,2018,ave,781.4932483578426,1530410.0,102828.07926429676,7.599998501860446
Ancash,2018,ave,37266.76730750584,2625380.0,16441575.135319654,2.2666178271113253
Lima,2018,ave,902509.464677448,60834269.0,399961650.4932463,2.256489999889846
Ica,2018,ave,88822.720785303,16492389.0,41472255.49962546,2.141738367379251
Huánuco,2018,ave,1262.2685057159956,1759470.0,650405.6057059699,1.9407405081416715
Pasco,2018,ave,645.8458698074785,138260.0,308980.11376605835,2.090250605242754
Junín,2018,ave,10987.290572741616,3570420.0,5002167.028678041,2.1965061361905995
Huancavelica,2018,ave,966.9088018770542,385190.0,509585.28102465154,1.8974425633582603
Arequipa,2018,ave,165735.5081783703,19470309.0,74439607.90653187,2.226442519504828
Moquegua,2018,ave,184.16242650119824,59765.0,94026.90281032312,1.9586141944152096
Tacna,2018,ave,20196.322145286817,1185445.0,9123568.26677219,2.2136429031655656
Ayacucho,2018,ave,1068.0947513215656,485120.0,547793.435585014,1.949812980473009
Apurímac,2018,ave,780.8350080062874,311850.0,411456.9735984978,1.8977318604599247
Cusco,2018,ave,3940.393323415919,1210308.0,1878734.824851952,2.097365349964399
Puno,2018,ave,2583.5710709463024,1687220.0,1357989.8304726607,1.902496626242825
San Martín,2018,ave,38948.60461616406,4589044.0,17897108.211513445,2.176251277908009
Loreto,2018,ave,26097.01025723457,4208074.0,11883178.137829602,2.1961305262399318
Ucayali,2018,ave,14732.143692472317,6147060.0,6692155.278023975,2.2014049406251
Madre de Dios,2018,ave,9316.643119951645,487120.0,4214165.964925794,2.2107916957930485
Tumbes,2017,ave,163.7060224297893,154270.0,71935.69529324083,2.275727255605901
Piura,2017,ave,28902.432661356168,6138251.0,13281846.796663174,2.176085382088384
Lambayeque,2017,ave,22689.22054913432,1868521.0,10413791.13863676,2.178766622748351
La Libertad,2017,ave,270846.8581100025,25241243.0,123377859.8617261,2.1952630594626137
Cajamarca,2017,ave,3616.9015114104914,839388.7110178932,1833960.5716754925,1.9721806276926213
Amazonas,2017,ave,3696.9187082358194,1521527.0483121483,1736237.4098508882,2.1292702756320168
Ancash,2017,ave,39416.052146293616,2640335.6401371206,17683178.81529492,2.229013943590336
Lima,2017,ave,848197.8464554672,58064430.0,377518801.8355558,2.2467698094277577
Ica,2017,ave,72365.19909865936,14767142.0,34888755.42416205,2.07416969217948
Huánuco,2017,ave,1213.059361552405,1763394.7583989666,637988.0127853153,1.9013826862615408
Pasco,2017,ave,406.19221832158166,141529.697833678,205633.28363101688,1.9753233092870448
Junín,2017,ave,12053.199723926427,3554425.6097520343,5570881.595905356,2.163607234586646
Huancavelica,2017,ave,947.9812396433052,392876.16630864254,505939.04775819887,1.8737064155134544
Arequipa,2017,ave,153406.22691487978,19046592.0,69740818.91966404,2.199661966854616
Moquegua,2017,ave,170.4724113995206,60302.69923627591,86126.85088097818,1.979317827782913
Tacna,2017,ave,20635.14840263613,1184630.9133373017,9438792.487656916,2.186206384939669
Ayacucho,2017,ave,1058.7678381238093,843901.3774687981,549179.5652226908,1.927908292972412
Apurímac,2017,ave,763.7822259911218,307628.6447918136,406961.94325745007,1.8767902961087
Cusco,2017,ave,4091.972288564322,1192249.1304510436,1986050.3774606285,2.060356743717817
Puno,2017,ave,2535.370837683364,1727180.0,1351018.252292825,1.8766369983385236
San Martín,2017,ave,37960.61433143708,4484888.015217912,17537001.327123333,2.164601212222404
