,especie/ producto,month,price,year
127,Llama,dic,3.829522328738873,2024
128,Huevo gallina,dic,5.264653406797491,2024
129,Fibra alpaca,dic,14.737920497812263,2024
130,Fibra llama,dic,6.730886004471561,2024
131,Lana ovino,dic,6.920135202130297,2024
132,Ave,ene,6.60993213809844,2023
133,Ovino,ene,5.624776116161797,2023
134,Porcino,ene,7.031397791310832,2023
135,Vacuno,ene,5.8638496570524765,2023
136,Caprino,ene,4.80914001923512,2023
137,Alpaca,ene,4.74846991149833,2023
138,Llama,ene,3.8013971209036144,2023
139,Huevo gallina,ene,5.061381652482636,2023
140,Fibra alpaca,ene,14.921446965761875,2023
141,Fibra llama,ene,6.520058535702903,2023
142,Lana ovino,ene,7.013808456073965,2023
143,Ave,feb,6.904689284551272,2023
144,Ovino,feb,5.634492893495674,2023
145,Porcino,feb,7.086698386290902,2023
146,Vacuno,feb,5.870544197465595,2023
147,Caprino,feb,4.834765388994649,2023
148,Alpaca,feb,4.809608851843874,2023
149,Llama,feb,3.8377807229667047,2023
150,Huevo gallina,feb,5.246794558638356,2023
151,Fibra alpaca,feb,14.810750384724235,2023
152,Fibra llama,feb,6.456253923879186,2023
153,Lana ovino,feb,6.8323007725291065,2023
154,Ave,mar,6.963151164827484,2023
155,Ovino,mar,5.628332786361312,2023
156,Porcino,mar,7.104510854768795,2023
157,Vacuno,mar,5.859116413366271,2023
158,Caprino,mar,4.807318781086971,2023
159,Alpaca,mar,4.813799184552521,2023
160,Llama,mar,3.8347651913550282,2023
161,Huevo gallina,mar,5.284204939516215,2023
162,Fibra alpaca,mar,14.820717206889881,2023
163,Fibra llama,mar,6.444548156445447,2023
164,Lana ovino,mar,6.757649545807114,2023
165,Ave,abr,6.993492335258287,2023
166,Ovino,abr,5.644220598121613,2023
167,Porcino,abr,7.141876745377193,2023
168,Vacuno,abr,5.8536293466457625,2023
169,Caprino,abr,4.802635110139259,2023
170,Alpaca,abr,4.84196654891441,2023
171,Llama,abr,3.8719856474842707,2023
172,Huevo gallina,abr,5.299628543377712,2023
173,Fibra alpaca,abr,13.63023262381819,2023
174,Fibra llama,abr,6.000439351223011,2023
175,Lana ovino,abr,6.856179077548778,2023
176,Ave,may,7.019409157474823,2023
177,Ovino,may,5.659149607832182,2023
178,Porcino,may,7.154577356671005,2023
179,Vacuno,may,5.860176074971631,2023
180,Caprino,may,4.80148834242765,2023
181,Alpaca,may,4.823426186948463,2023
182,Llama,may,3.8510251223193204,2023
183,Huevo gallina,may,5.3288345776163615,2023
184,Fibra alpaca,may,13.846024614470016,2023
185,Fibra llama,may,6.432488964541372,2023
